id;itens
264; 'quantidade de andares: 15'
264; 'cerca eletrica'
264; 'elevador de servico: 1'
266; 'torre(s): 1'
266; 'elevador de servico: 1'
266;'quantidade de andares: 12'
266; 'portaria: 24hrs.'
266; 'elevador social: 1'
267; 'piscina adulto'
267; 'salao de festa'
267; 'playground'
267; 'portaria: 24hrs.'
267; 'fitness'
267; 'quadra poliesportiva'
267;'churrasqueira'
267; 'espaco gourmet'
267; 'portao eletronico'
267; 'salao de jogos'
267; 'piscina infantil'
267; 'cameras de seguranca'
267; 'espaco kids'
268; 'cameras de seguranca'
268; 'espaco gourmet'
268; 'salao de festa'
268; 'espaco kids'
268; 'playground'
268; 'portao eletronico'
268; 'fitness'
268; 'piscina infantil'
268; 'portaria: 24hrs.'
268; 'quadra poliesportiva'
268; 'salao de jogos'
268; 'piscina adulto'
268;'churrasqueira'
